model,accuracy,time,emissions
SVM,0.186,90.7773540019989,0.00016955736546688273
DenseNet,0.294,6.170715093612671,1.1536635606691267e-05
CNN,0.484,24.810115814208984,4.637240574828667e-05
VGG-Pretrained,0.547,305.53795289993286,0.0005705804467303139
VGG-Untrained,0.509,24.166569709777832,4.51487150437621e-05
